test_id,timestamp,location_name,latitude,longitude,source,data_source,ssid,bssid,signal_pct,estimated_rssi_dbm,band,channel,radio_type,rx_link_mbps,tx_link_mbps,wifi_interface,adapter_description,ping_host,latency_ms,jitter_ms,packet_loss_pct,ping_packets_received,ping_packets_sent,download_mbps,upload_mbps
78e1f995-5c37-4d81-baf4-45ac00dc5bf1,2026-09-19T08:00:00,Burruss Hall,37.229689,-80.423856,synthetic,synthetic,eduroam,,79,-66.3,5 GHz,144,802.11ax,249.9,277.6,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,25.74,14.25,0.0,10,10,91.13,46.11
d47c5507-e2d3-492e-aa19-c50a233108c7,2026-09-19T08:30:00,Burruss Hall,37.229689,-80.423856,synthetic,synthetic,eduroam,,61,-62.6,5 GHz,36,802.11ax,34.0,29.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,20.92,6.38,0.1,10,10,26.83,93.49
38f109f4-2a2d-44c7-bb37-2146d0e4c6b6,2026-09-19T09:00:00,Burruss Hall,37.229689,-80.423856,synthetic,synthetic,eduroam,,69,-61.5,2.4 GHz,6,802.11ax,198.0,480.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,19.38,3.41,0.0,10,10,68.7,44.41
cdc70e0d-fee7-4bd9-bffb-54e1de979150,2026-09-19T09:30:00,Burruss Hall,37.229689,-80.423856,synthetic,synthetic,eduroam,,70,-67.2,5 GHz,40,802.11ax,338.2,81.6,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,16.21,4.75,0.9,10,10,68.24,86.54
caa4e867-f417-46ea-885b-34dbd8e7f640,2026-09-19T10:00:00,Burruss Hall,37.229689,-80.423856,synthetic,synthetic,eduroam,,83,-66.6,5 GHz,11,802.11ax,394.3,574.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,19.25,21.01,2.1,10,10,76.59,20.69
db4a1afd-e33a-46f4-82a6-505357971105,2026-09-19T10:30:00,Burruss Hall,37.229689,-80.423856,synthetic,synthetic,eduroam,,84,-73.2,5 GHz,44,802.11ax,210.3,201.7,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,20.97,16.29,3.5,10,10,47.12,49.86
1634d144-f126-41e7-9c98-e90c16e4775d,2026-09-19T11:00:00,Burruss Hall,37.229689,-80.423856,synthetic,synthetic,eduroam,,76,-55.4,5 GHz,6,802.11ax,126.3,112.7,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,21.96,18.8,0.4,10,10,105.81,66.15
bcd39d52-a66d-48be-a250-dc0e69fea176,2026-09-19T11:30:00,Burruss Hall,37.229689,-80.423856,synthetic,synthetic,eduroam,,57,-61.4,2.4 GHz,6,802.11ax,500.9,291.9,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,13.19,9.48,0.3,10,10,135.19,32.47
84f0464e-eb61-4ee7-9cde-cef728e7a0be,2026-09-19T12:00:00,Burruss Hall,37.229689,-80.423856,synthetic,synthetic,eduroam,,54,-60.8,5 GHz,48,802.11ax,302.2,421.9,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,21.43,11.11,0.0,10,10,102.28,54.81
ab9a8848-1a43-49cb-984e-8ad89864b291,2026-09-19T12:30:00,Burruss Hall,37.229689,-80.423856,synthetic,synthetic,eduroam,,51,-69.0,2.4 GHz,6,802.11ax,84.9,264.7,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,21.27,6.34,0.0,10,10,114.42,50.28
